Time;AccX;AccY;AccZ;GyX;GyY;GyZ

44,298960,0269;-0,0017;0,001;-6,16;2,86;1,5
44,307880,0288;0,0027;-0,0088;-6,16;2,81;1,61
44,316680,0288;0,0027;-0,0088;-6,16;2,81;1,61
44,325680,0298;0,0012;-0,009;-6,07;2,8;1,68
44,334470,0264;0,0007;0,001;-5,95;3,08;1,54
44,343420,0264;0,0007;0,001;-5,95;3,08;1,54
44,352120,0225;0,0063;-0,0049;-5,97;2,97;1,68
44,363150,0225;0,0063;-0,0049;-5,97;2,97;1,68
44,371990,0239;0,0007;-0,0078;-6,03;2,94;1,73
44,381360,0239;0,0007;-0,0078;-6,03;2,94;1,73
44,39590,0251;0,0005;-0,0034;-5,84;2,91;1,49
44,404990,0251;0,0005;-0,0034;-5,84;2,91;1,49
44,41380,0251;0,0005;-0,0034;-5,84;2,91;1,49
44,422730,0308;0,0034;0,0059;-6,1;2,89;1,57
44,43150,0308;0,0034;0,0059;-6,1;2,89;1,57
44,445260,0303;0,0032;-0,0027;-6;3,14;1,6
44,454460,0288;-0,002;-0,0112;-6,01;2,97;1,63
44,464270,0288;-0,002;-0,0112;-6,01;2,97;1,63
44,47420,0288;-0,002;-0,0112;-6,01;2,97;1,63
44,486610,0264;-0,0037;-0,002;-5,94;2,96;1,7
44,50260,0266;-0,0061;-0,0046;-6,21;2,98;1,6
44,512970,0361;-0,0051;0,0007;-6,09;2,88;1,69
44,523280,0361;-0,0051;0,0007;-6,09;2,88;1,69
44,5340,0361;-0,0051;0,0007;-6,09;2,88;1,69
44,544340,0305;0,0046;-0,012;-6,09;2,91;1,68
44,554470,0266;-0,0007;-0,012;-6,02;3,15;1,68
44,56660,0266;-0,0007;-0,012;-6,02;3,15;1,68
44,57680,0298;0,0044;-0,0022;-6,14;2,8;1,7
44,586810,0298;0,0044;-0,0022;-6,14;2,8;1,7
44,600930,0298;0,0044;-0,0022;-6,14;2,8;1,7
44,615120,0312;0,0034;-0,0022;-6,02;2,87;1,63
44,623860,0312;0,0034;-0,0022;-6,02;2,87;1,63
44,632790,0312;0,0034;-0,0022;-6,02;2,87;1,63
44,641640,0293;-0,0068;-0,0024;-6,06;2,85;1,85
44,651580,0293;-0,0068;-0,0024;-6,06;2,85;1,85
44,660260,0264;0,0037;-0,0032;-6,15;3,08;1,46
44,669640,0264;0,0037;-0,0032;-6,15;3,08;1,46
44,678410,0232;0,0005;0;-5,92;2,86;1,66
44,687880,0232;0,0005;0;-5,92;2,86;1,66
44,697960,0232;0,0005;0;-5,92;2,86;1,66
44,707570,0269;0,002;-0,0117;-6,21;2,82;1,5
44,717340,0254;-0,0002;-0,0007;-5,89;2,98;1,64
44,731440,0254;-0,0002;-0,0007;-5,89;2,98;1,64
44,74090,0291;0,0083;-0,001;-6,09;3,04;1,6
44,754150,0283;-0,0039;0,0007;-6,2;2,82;1,53
44,763540,0283;-0,0039;0,0007;-6,2;2,82;1,53
44,774160,0312;0,0002;-0,0044;-6,1;2,87;1,52
44,783780,0312;0,0002;-0,0044;-6,1;2,87;1,52
44,792840,0312;0,0002;-0,0044;-6,1;2,87;1,52
44,801910,0234;0,0027;-0,0012;-6,01;2,97;1,53
44,811710,0234;0,0027;-0,0012;-6,01;2,97;1,53
44,821720,0271;0,0049;-0,0012;-5,97;2,95;1,67
44,833310,0256;0,0056;-0,0063;-6,12;2,92;1,76
44,849490,0256;0,0056;-0,0063;-6,12;2,92;1,76
44,859630,0264;0,0005;0,0017;-5,89;2,99;1,65
44,870,0264;0,0005;0,0017;-5,89;2,99;1,65
44,881960,0264;0,0029;-0,0027;-6,04;2,92;1,68
44,892860,0278;0,0015;-0,0042;-5,8;2,83;1,38
44,9070,0278;0,0015;-0,0042;-5,8;2,83;1,38
44,917530,0308;-0,0005;-0,0027;-6,14;2,94;1,61
44,925660,0308;-0,0005;-0,0027;-6,14;2,94;1,61
44,936240,0332;0,0078;-0,0085;-6,09;2,96;1,5
44,953780,0266;0,0012;-0,0078;-5,85;2,87;1,59
44,965420,0266;0,0012;-0,0078;-5,85;2,87;1,59
44,9850,0251;0,0063;-0,0117;-6,09;2,89;1,63
44,998020,0281;0,0022;0,001;-6,01;2,89;1,57
45,00820,0281;0,0022;0,001;-6,01;2,89;1,57
45,017940,0286;0,0022;-0,0049;-5,99;2,86;1,57
45,029340,0286;0,0022;-0,0049;-5,99;2,86;1,57
45,040160,03;-0,0039;-0,0115;-6,05;3,05;1,73
45,055910,032;-0,0024;0,0027;-5,74;2,98;1,56
45,070910,032;-0,0024;0,0027;-5,74;2,98;1,56
45,081310,0347;0,0007;0,0034;-6,05;2,98;1,73
45,091120,0315;0,0056;-0,0056;-5,87;2,7;1,5
45,10110,0315;0,0056;-0,0056;-5,87;2,7;1,5
45,112560,0315;0,0056;-0,0056;-5,87;2,7;1,5
45,127240,0237;0,0012;-0,0005;-6,02;2,84;1,42
45,142190,0271;0,002;-0,0068;-6,1;2,89;1,53
45,157960,0291;0,0012;-0,0022;-6,15;3,04;1,58
45,167850,0291;0,0012;-0,0022;-6,15;3,04;1,58
45,177320,0283;0,0037;-0,0027;-6,19;2,81;1,76
45,189010,0283;0,0037;-0,0027;-6,19;2,81;1,76
45,199210,0276;0,0032;-0,0056;-5,95;2,98;1,47
45,209610,0276;0,0032;-0,0056;-5,95;2,98;1,47
45,224240,0256;-0,0037;0,0049;-6,17;2,9;1,6
45,234720,0256;-0,0037;0,0049;-6,17;2,9;1,6
45,246080,032;-0,0024;-0,0088;-6,16;2,78;1,72
45,261490,0251;0,0005;0;-5,77;2,81;1,59
45,272290,0293;0,0022;-0,0107;-6,21;2,69;1,54
45,282090,0293;0,0022;-0,0107;-6,21;2,69;1,54
45,291790,0286;0,0066;-0,0154;-6,14;2,8;1,72
45,301160,0286;0,0066;-0,0154;-6,14;2,8;1,72
45,310640,0286;0,0066;-0,0154;-6,14;2,8;1,72
45,320090,0298;0,001;-0,0059;-6,09;2,95;1,6
45,329280,0298;0,001;-0,0059;-6,09;2,95;1,6
45,338520,0308;-0,0017;0,001;-6,22;2,86;1,54
45,34850,0308;-0,0017;0,001;-6,22;2,86;1,54
45,363540,031;0;-0,0076;-6,27;2,92;1,47
45,377680,0239;-0,0029;-0,0039;-5,98;2,73;1,76
45,38810,0239;-0,0029;-0,0039;-5,98;2,73;1,76
45,397150,0286;-0,0012;-0,0071;-5,92;3,09;1,66
45,406440,0286;-0,0012;-0,0071;-5,92;3,09;1,66
45,416810,0286;-0,0012;-0,0071;-5,92;3,09;1,66
